,name,equipment,primaryMuscleGroups,primaryMuscles,secondaryMuscleGroups,type,tags,instructions
33,single leg deadlift,barbell,['legs'],"['gluteal muscles', 'hamstrings']",[],isolation,[],"Stand up holding a barbell directly in front of you with straight arms. Lower the barbell towards the floor, keeping it close to your body and at the same time lift one of your legs off the floor and allow it to move behind you. Keep your back straight throughout the motion. Allow your leg remaining on the ground to bend slightly, most of the movement should caused by bending at the hip. When the barbell touches the floor, stand back up with the weight. Remain on one leg until you are stood up straight."
34,paused barbell squat,barbell,"['legs', 'back']","['quadriceps', 'gluteal muscles', 'erector spinae']",['core'],compound,['powerlifting'],"Perform a squat with a barbell on your back. Pause at the bottom of the range of motion momentarily, ensuring your core is braced and your back is straight. Complete the movement by extending the knees and hips to stand back up with the barbell."
35,pin bench press,barbell,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,['powerlifting'],"Set the safety pins of a rack at chest height. The height should allow you to lower the bar to near the bottom of your bench range of motion before the bar reaches the pins. Perform a bench press with the barbell, descending until the bar touches the safety pins. Pause momentarily, but do not allow the bar to rest fully on the pins. Complete the press by pushing the bar back upwards."
36,one arm dumbbell row,dumbbells,['back'],"['trapezius', 'latissimus dorsi']",['arms'],compound,[],"Support one side of your body on a flat bench by kneeling on and placing your hand on it with a straight arm. Stabilise yourself with your other foot and pick up the dumbbell with a straight arm using your other arm. While bracing your core and keeping the same horizontal back angle, row the dumbbell up as close to your body as possible before returning it to the starting position slightly above the floor."
37,seated cable row,cable,['back'],"['trapezius', 'latissimus dorsi']",['arms'],compound,[],"Sit on a flat bench or the floor with the cable height at stomach level. Optionally set your feet on foodpads if they are available. Grab the cable attachment and sit up with a flat back. Row the cable attachment to your body by driving your elbows back until it touches your stomach, maintaining the same back angle before returning it to its starting position."
38,seated machine row,machine,['back'],"['latissimus dorsi', 'trapezius']",['arms'],compound,[],"Sit on the machine seat and set your feet on the foot pads, grip the machine handles with straight arms. Row the handles as close to your body as you can by driving your elbows back, maintaining a straight back angle, then returning the handles to their original position."
39,incline dumbbell bench press,dumbbells,"['arms', 'chest']","['upper chest', 'triceps']",['shoulders'],compound,[],Pick up the dumbbells and lie on an inclined bench at approximately 30 degrees while lifting the dumbbells into position above your upper chest with straight arms. Retract and depress your scapula. Lower the dumbbells straight down to the sides of your upper chest before pressing them straight back up to their starting position.
40,dumbbell pullover,dumbbells,['chest'],['lower chest'],"['back', 'arms']",isolation,[],"Lie with your upper back on a flat bench and your legs on the ground. Extend your hips slightly so your back angle is close to flat. Hold a dumbell by one if its weighted sides over your upper chest. With slightly bent elbows, lower the dumbbell backwards over your head as far back as comfortable. Pull the dumbbell back over your head to its starting position."
41,machine bench press,machine,"['chest', 'arms']","['lower chest', 'triceps']",['shoulders'],compound,[],"Lay on the flat bench of the machine and grip the handles beside your middle chest with bent elbows. Retract and depress your scapula. Press the handles of the machine upwards until your arms are straight, keeping your scapula in the same position. Lower the handles to the starting position beside your chest."
42,hand stand pushup,body weight,['shoulders'],"['triceps', 'lateral deltoid', 'anterior deltoid']","['arms', 'back']",compound,['calisthenics'],"Assume a handstand position. Keeping your body as straight as possible, lower your head towards the floor by bending your elbows and allowing your body to lean slightly forwards. Once your head is close to touching the floor, push yourself back to the starting position with straight arms."
43,barbell skull crusher,barbell,['arms'],['triceps'],[],isolation,[],"Lie down on a flat bench with a barbell held over your face with a grip narrower than shoulder width and a pronated grip. Straighten your arms. Keeping your elbow position the same, lower the barbell over and behind your head by bending the elbows as much as possible and pointing them forwards. Push with the triceps to return the barbell to the starting position with straight arms, still keeping the elbows in the same position."
44,barbell reverse curl,barbell,['arms'],['brachioradialis'],[],isolation,[],"Grasp the bar with a pronated grip at shoulder width, and straight arms. Raise the bar up by bending at the elbows as much as possible. Avoid swinging and keep your back angle upright. Lower the bar to the starting position with straight arms."
45,cable curl,cable,['arms'],['biceps'],[],isolation,[],"Grasp the cable attachment of a low cable with a supinated grip and straight arms. While keeping your back angle upright and preventing swinging, curl the attachment up by bending your arms at the elbows as far as they go. Lower the attachment back to the starting position."
46,rope tricep pushdown,cable,['arms'],['triceps'],[],isolation,[],"Grasp the rope attachment of a high cable with a neutral grip with your hands together. Assume starting position with bent elbows at your sides and a straight back position. You can lean forwards slightly by bending at the hip. Keeping your elbows in the same position, straighten your arm to push the rope down and spread the ends apart until your arms are straight. Maintaining elbow position, allow the rope back to the starting position with bent elbows and bring them back together."
47,underhand tricep pushdown,cable,['arms'],['triceps'],[],isolation,[],"Grasp the cable attachment of a high cable with a supinated grip within shoulder width. Assume starting position with bent elbows at your sides and a straight back position. You can lean forwards slightly by bending at the hip. Keeping your elbows in the same position, straighten your arm to push the attachment down until your arms are straight. Maintaining elbow position, allow the attachment to return to the starting position with bent elbows."
48,smith machine tricep extension,smith machine,['arms'],['triceps'],[],isolation,[],"Stand with the barbell in a smith machine held overhead with a grip narrower than shoulder width and a pronated grip. Straighten your arms. Keeping your elbow position the same, lower the barbell behind your head by bending the elbows as much as possible and pointing them forwards. Push with the triceps to return the barbell to the overhead starting position with straight arms, still keeping the elbows in the same position."
49,high bar squat,barbell,['legs'],"['quadriceps', 'gluteal muscles']","['core', 'back']",compound,[],"Set up in front of a racked barbell at shoulder height. Grip the bar evenly on the barbell outside of shoulder width. Step underneath the bar and place it on top of your trapezius across the top of your shoulders, ensuring that it is stable. Stand up with the bar to unrack it and step backwards to clear the rack. Set your feet at a comfortable width and angle, usually at shoulder width with toes pointed out slightly. Take a deep breath and brace your core. Squat down by bending at the hips and knees to a comfortable depth, allowing your torso to lean forwards slighty. Aim for your thighs to be parallel or beneath parallel to the floor. Stand back up with the weight to the starting position by extending the hips and knees until your torso angle and legs are straight."
50,barbell good morning,barbell,"['legs', 'back']","['gluteal muscles', 'erector spinae', 'hamstrings']",['core'],compound,[],"Set up in front of a racked barbell at shoulder height. Grip the bar evenly on the barbell outside of shoulder width. Step underneath the bar and place it across your back in a low bar or high bar position. Stand up with the bar to unrack it and step backwards to clear the rack. Set your feet at a comfortable width and angle, usually at shoulder width with toes pointed out slightly. Take a deep breath and brace your core. Allowing your knees to bend slightly and keeping them in place, hinge at the hips to bend your torso to near horizontal while keeping your back flat. Stand back up with the weight to the starting position by extending the hips until your torso angle is straight."
51,safety squat bar squat,barbell,['legs'],"['quadriceps', 'gluteal muscles']","['core', 'back']",compound,[],"Set up in front of a racked SSB at shoulder height. Step underneath the bar with your head between the handles and grip the handles. Raise the handles slightly so the bar sits comfortably on your back and shoulders. Stand up with the bar to unrack it and step backwards to clear the rack. Set your feet at a comfortable width and angle, usually at shoulder width with toes pointed out slightly. Take a deep breath and brace your core. Squat down by bending at the hips and knees to a comfortable depth, allowing your torso to lean forwards slighty. Aim for your thighs to be parallel or beneath parallel to the floor. Stand back up with the weight to the starting position by extending the hips and knees until your torso angle and legs are straight."
52,dumbbell walking lunge,dumbbells,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,[],"Stand holding two dumbbells at your sides with straight arms and with your feet together. Step forwards with one foot and lower your body by bending at the knees until the knee of your rear leg touches the floor. Keep your body upright throughout the motion. Stand back up and step forwards with your back leg so it is beside your front leg. Repeat this motion, reversing the roles of your left and right legs."
53,dumbbell glute bridge,dumbbells,['legs'],['gluteal muscles'],[],isolation,[],"Lie with your back against the floor, your feet flat on the floor and bent knees. Begin with your hips lowered so your lower back is against the floor. Place a dumbbell on top of your hip. Extend your hips fully and flex your glutes to raise your hips along with the dumbbell above the floor. Lower your hips back to the starting position."
54,dumbbell single leg deadlift,dumbbells,['legs'],"['gluteal muscles', 'hamstrings']",[],isolation,[],"Stand up holding two dumbbells directly in front of you with straight arms. Lower the dumbbells towards the floor, keeping them close to your body and at the same time lift one of your legs off the floor and allow it to move behind you. Keep your back straight throughout the motion. Allow your leg remaining on the ground to bend slightly, most of the movement should caused by bending at the hip. When the dumbbells are close to touching the floor, stand back up with the weight. Remain on one leg until you are stood up straight."
55,standing hip extension,cable,['legs'],['gluteal muscles'],[],isolation,[],"Stand in front of a low cable machine with a cuff attachment attached to one of your ankles or feet. Stand up straight on your leg without the cuff, and raise your attached leg off the floor slightly at the hip, keeping it straight also. Alternatively, you could could stand on an elevated surface with your planted leg. Use your hands to stabilise yourself. Lift your raised leg behind you as much as you can while keeping it straight before returning it back to its starting position in line with your planted leg."
56,machine glute kickback,machine,['legs'],['gluteal muscles'],[],isolation,[],"Lean over and support your upper body on the support pad, grasping the handles in front of you. Raise one of your legs, and place it flat against the platform behind you. This leg should be bent and your hip should be in flexion. Push the platform back as far as possible with your raise leg by straightening your leg and extending at the hip. Allow the platform to return to the starting position with control."
57,smith machine good morning,smith machine,"['legs', 'back']","['gluteal muscles', 'erector spinae', 'hamstrings']",['core'],compound,[],"Set up in front of a racked barbell at shoulder height. Grip the bar evenly on the barbell outside of shoulder width. Step underneath the bar and place it on top of your upper back or shoulders. Set your feet at a comfortable width and angle, usually at shoulder width with toes pointed out slightly. Stand up with the bar to unrack it. Take a deep breath and brace your core. Allowing your knees to bend slightly and keeping them in place, hinge at the hips to bend your torso to near horizontal while keeping your back flat. Stand back up with the weight to the starting position by extending the hips until your torso angle is straight."
58,smith machine front squat,smith machine,['legs'],"['quadriceps', 'gluteal muscles']","['core', 'back']",compound,[],"Set up in a smith machine underneath a racked barbell at shoulder height in a front rack position. The bar should be sitting across the front of your shoulders on your anterior deltoids and your hands should be used to stabilize the bar. This is usually done by crossing your arms over the top of the bar, or placing your fingertips beneath the bar with high elbows. Set your feet at a comfortable width and angle, usually at shoulder width with toes pointed out slightly. Stand up to unrack the bar. Breath in and brace your core. Squat down by bending at the hips and knees to a comfortable depth, allowing your torso to lean forwards slighty. Aim for your thighs to be parallel or beneath parallel to the floor. Stand back up with the weight to the starting position by extending the hips and knees until your torso angle and legs are straight."
59,body weight squat,body weight,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,['calisthenics'],"Set your feet at a comfortable width and angle, usually at shoulder width with toes pointed out slightly. Place your arms in front of you for balance. Squat down by bending at the hips and knees to a comfortable depth, allowing your torso to lean forwards slighty. Aim for your thighs to be parallel or beneath parallel to the floor. Stand back up to the starting position by extending the hips and knees until your torso angle and legs are straight."
60,glute bridge,body weight,['legs'],['gluteal muscles'],[],isolation,[],"Lie with your back against the floor, your feet flat on the floor and bent knees. Begin with your hips lowered so your lower back is against the floor. Extend your hips fully and flex your glutes to raise your hips above the floor. Lower your hips back to the starting position."
61,box jump,body weight,['legs'],"['quadriceps', 'calves']",[],compound,['plyometric'],"Stand in front of a stable elevated surface in an open space. The height of the box depends on your jumping ability. Squat slightly and bring your arms behind you to assume a jumping stance. Jump explosively while swinging your arms forwards, landing on top of the elevated surface in front of you in an athletic stance. Stand up fully on top of the surface before stepping down back to the floor."
62,hanging leg raise,body weight,['core'],['rectus abdominis'],[],isolation,[],"Grasp and hang from a high bar that allows your body to be straight when hanging. Without swinging, raise your legs as high as possible, keeping them straight or as close to straight as possible. Lower your legs to the starting position."
63,cable crunch,body weight,['core'],['rectus abdominis'],[],isolation,[],"Set up underneath a high cable with a rope attachment. Hold the rope attachment either beside your neck, or diretly over your head. Assume a kneeling position, facing away from the cable machine. Start with your torso upright, and crunch your torso downwards as much as possible, making sure you do not move the cable attachment. Return your torso position to its starting upright position."
64,hanging l sit,body weight,['core'],"['rectus abdominis', 'transverse abdominis']",[],compound,['calisthenics'],"Hang from a high bar with a grip of your choosing. While maintaining an upright, straight torso, raise your legs until they are horizontal while keeping them straight also. Ensure your lower back is still flat and maintain this position."
65,barbell seal row,barbell,['back'],"['trapezius', 'latissimus dorsi']",['arms'],compound,[],"Lie flat on a high bench facing downwards with a barbell underneath, optionally with a camber or handles. Grip the barbell with straight arms at shoulder width or wider and row the barbell as close as possible to your body before returning it to the starting position with straight arms."
66,close grip bench press,barbell,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,[],"Set your feet at a stable position and lie on a flat bench with the racked bar above your face. Place your hands slightly within shoulder width on the bar, ensuring the grip is even on both sides and the width is comfortable. Leverage yourself against the bar to retract and depress your scapula, and push with your legs to reinforce your lower back arch. Unrack the bar and bring it forward over your chest with straight arms. Lower the bar in a controlled manner until it touches your lower chest, pause for a second before pressing it back to its starting position, all while maintaining the same scapula position and lower back arch."
67,cable crossover,cable,['chest'],['lower chest'],[],isolation,[],"Stand between two high cable attachments and hold onto the handle attachments. Step forwards and keep your elbows slighly bent, allowing the cable to stretch your chest and to bring your elbows backwards. While keeping the same elbow and body angle, bring the two cable attachments close together in front of you before letting them return to the starting position."
68,cable bench press,cable,"['chest', 'arms']","['lower chest', 'triceps']",['shoulders'],compound,[],"Set up a flat bench between two low cables. Grab the two cable attachments and lie on the bench, positioning the attachments by the side of your chest with bent elbows. Retract and depress your scapula. Push the cable attachments upwards above your chest until your arms straighten before lowering them to the starting position by your chest."
69,smith machine incline bench press,smith machine,"['arms', 'chest']","['triceps', 'upper chest']",['shoulders'],compound,[],"Set your feet at a stable position and lie on an inclined bench at approximately 30 degrees with the racked bar above your upper chest. Place your hands slightly wider than shoulder width on the bar, ensuring the grip is even on both sides and the width is comfortable. Leverage yourself against the bar to retract and depress your scapula. Unrack the bar with straight arms. Lower the bar in a controlled manner until it touches your upper chest before pressing it back to its starting position, all while maintaining the same scapula position."
70,jm press,barbell,['arms'],['triceps'],['chest'],compound,[],Lie down on a flat bench with a barbell held over your chest with a grip narrower than shoulder width and a pronated grip. Ensure your arms are straight. Lower the barbell to your upper chest by bending at the elbows and allowing them to come forwards until your forearms are inline with your body. Press the barbell back to the starting position by straightening the elbows.
71,dumbbell curl,dumbbells,['arms'],['biceps'],[],isolation,[],"Stand up holding two dumbbells at your sides with a neutral grip. Without swinging your body and maintaining an upright back angle, curl the dumbbells up by bending your elbows as much as possible. During the curling motion, keep your elbows close to your body and supinate your grip as much as possible. Lower the dumbbels back to the starting position with straight arms."
72,dumbbell preacher curl,dumbbells,['arms'],['biceps'],[],isolation,[],"Set up behind a preacher bench grasping a dumbbell in one hand with a supinated grip, with your upper arm resting on the pad. Your arm should begin straightened. Curl the dumbbell up and towards yourself by bending your elbow as much as you can while keeping the upper arm supported on the pad. Lower the dumbbell back to the original position with a straight arm."
73,dumbbell skull crusher,dumbbells,['arms'],['triceps'],[],isolation,[],"Lie down on a flat bench with dumbbells held over your face with a grip narrower than shoulder width and a neutral grip. Straighten your arms. Keeping your elbow position the same, lower the dumbbells over and behind your head by bending the elbows as much as possible and pointing them forwards. Push with the triceps to return the dumbbells to the starting position with straight arms, still keeping the elbows in the same position."
74,dumbbell overhead tricep extension,dumbbells,['arms'],['triceps'],[],isolation,[],"While standing straight, hold a dumbbell overhead with straight arms by one of its weighted heads. Your palms should be facing upwards holding the dumbbell with both hands. Keeping your elbows in the same position, lower the dumbbell behind your head by bending the elbows as much as possible, pointing them forwards as you do so. Press with the triceps to return the dumbbell to its starting position with straight arms above your head."
75,dumbbell wrist curl,dumbbells,['arms'],['forearm flexors'],[],isolation,[],"Grasp two dumbbells at your sides with a supinated grip and straight arms while standing. Begin with relaxed wrists. Move the dumbbells slightly upwards and towards yourself by curling your wrist up as much as possible, keeping your arms straight. Lower the dumbbells slightly back to the starting position by relaxing your wrists."
76,straight bar tricep pushdown,cable,['arms'],['triceps'],[],isolation,[],"Grasp the cable attachment of a high cable with a pronated grip within shoulder width. Assume starting position with bent elbows at your sides and a straight back position. You can lean forwards slightly by bending at the hip. Keeping your elbows in the same position, straighten your arm to push the attachment down until your arms are straight. Maintaining elbow position, allow the cable attachment to return to the starting position with bent elbows."
77,v-bar tricep pushdown,cable,['arms'],['triceps'],[],isolation,[],"Grasp the cable attachment of a high cable with a pronated grip. Assume starting position with bent elbows at your sides and a straight back position. You can lean forwards slightly by bending at the hip. Keeping your elbows in the same position, straighten your arm to push the attachment down until your arms are straight. Maintaining elbow position, allow the attachment to return to the starting position with bent elbows."
